name,x_handle,points,tier,telegram
⭕x_scorpii,@mr_scorpii,10,Ambassador,@mr_scorpii
OxBazzah,@OxBazzah,10,Ambassador,@OxBazzah
Web3Enchantress ,Web3Enchantress ,9,Ambassador,Web3Enchantress 
Muhammad yunusa ,@muhammadyunusaa,10,Ambassador,@muhammadyunusaa
Popularx2k ,popularx2k ,10,Ambassador,popularx2k 
Nurasufyan ,Nurasufyan ,8,Ambassador,Nurasufyan 
Maifaraweb3,Maifaraweb3,25,Ambassador,Maifaraweb3
Habuskid,Habuskid01,25,Ambassador,Habuskid01
Miriyamah ,Miriyamah ,9,Ambassador,Miriyamah 
⭕x_scorpii,@mr_scorpii,10,Ambassador,@mr_scorpii
Ciphercore ,Ciphercore_01,8,Ambassador,Ciphercore_01
Serdeek,@arcserdeek,9,Ambassador,@arcserdeek
Abdulkadir ,@kadeerweb3,10,Ambassador,@kadeerweb3
Yahya22k,Yaahya22k,8,Ambassador,Yaahya22k
Deeny-Khan ,@Donmadaki,9,Ambassador,@Donmadaki
LUKSONTEACH,@Luksonteach,8,Ambassador,@Luksonteach
Sanusi Modibbo ,@Sanusi_Modibbo ,10,Ambassador,@Sanusi_Modibbo 
Auta,@Auta527,9,Ambassador,@Auta527
Ranoweb3 ,Ranoweb3 ,9,Ambassador,Ranoweb3 
KaliphateX,KaliphateX,9,Ambassador,KaliphateX
Danshanu ,DanshanuX ,9,Ambassador,DanshanuX 
Faizara,@FaizahAlkali,10,Ambassador,@FaizahAlkali
Bryantgee,MoFoluShola ,8,Ambassador,MoFoluShola 
Lady Aysher ,@Lady_Aysher,8,Ambassador,@Lady_Aysher
Usmanusee01,usmanusee0,9,Ambassador,usmanusee0
Hamzatela ,@hamza_tela,8,Ambassador,@hamza_tela
Seylorbay ,Neliaephraim ,8,Ambassador,Neliaephraim 
Faskari,@faskari4041,25,Ambassador,@faskari4041
Babs,Babsidentity ,10,Ambassador,Babsidentity 
Cypto crier1 ,@cypto_crier1,25,Ambassador,@cypto_crier1
Faskari,@faskari4041,8,Ambassador,@faskari4041
Ade,Ade_WEB3,9,Ambassador,Ade_WEB3
Yahaya Sa'ad,@Yahaya_web3,8,Ambassador,@Yahaya_web3
OffixialLecovic ,OffixialLecovic ,10,Ambassador,OffixialLecovic 
DefiMohk ,DefiMohk ,9,Ambassador,DefiMohk 
Game changer ,@Realmissionjr,8,Ambassador,@Realmissionjr
Humble,Oxhumblewins,25,Ambassador,Oxhumblewins
Fc Barcelona Hausa ,fcbarcelonahausa,8,Ambassador,fcbarcelonahausa
Beejay,@johnaot,8,Ambassador,@johnaot
Lalashgusau,Lalashgusau,10,Ambassador,Lalashgusau
Mukhtar Usman,@mukhtaruthman6,10,Ambassador,@mukhtaruthman6
T,@hamza_tela,10,Ambassador,@hamza_tela
Patoskyy,@patoskyyyy,9,Ambassador,@patoskyyyy
Alhajimali,@Alhajimali,9,Ambassador,@Alhajimali
Bachiri ,Bachiri42,8,Ambassador,Bachiri42
Tela,@hamza_tela,9,Ambassador,@hamza_tela
