name,x_handle,points,posts,engagements,referrals,tier,telegram
⭕x_scorpii,@mr_scorpii,9,22,7,15,Ambassador,@mr_scorpii
OxBazzah,@OxBazzah,8,33,16,24,Ambassador,@OxBazzah
Web3Enchantress ,Web3Enchantress ,10,27,9,41,Ambassador,Web3Enchantress 
Muhammad yunusa ,@muhammadyunusaa,8,20,3,32,Ambassador,@muhammadyunusaa
Popularx2k ,t.me/popularx2k ,8,14,33,34,Ambassador,t.me/popularx2k 
Nurasufyan ,Nurasufyan ,10,31,100,31,Ambassador,Nurasufyan 
Maifaraweb3,Maifaraweb3,8,6,100,30,Ambassador,Maifaraweb3
Habuskid,Habuskid01,8,20,36,22,Ambassador,Habuskid01
Miriyamah ,Miriyamah ,8,34,47,22,Ambassador,Miriyamah 
⭕x_scorpii,@mr_scorpii,10,100,100,40,Ambassador,@mr_scorpii
Ciphercore ,Ciphercore_01,8,100,15,29,Ambassador,Ciphercore_01
Serdeek,@arcserdeek,8,32,34,40,Ambassador,@arcserdeek
Abdulkadir ,@kadeerweb3,8,23,30,20,Ambassador,@kadeerweb3
Yahya22k,Yaahya22k,8,8,22,22,Ambassador,Yaahya22k
Deeny-Khan ,@Donmadaki,10,7,100,11,Ambassador,@Donmadaki
LUKSONTEACH,@Luksonteach,10,9,35,31,Ambassador,@Luksonteach
Sanusi Modibbo ,@Sanusi_Modibbo ,9,3,100,27,Ambassador,@Sanusi_Modibbo 
Auta,@Auta527,9,11,16,10,Ambassador,@Auta527
Ranoweb3 ,Ranoweb3 ,9,49,18,7,Ambassador,Ranoweb3 
KaliphateX,KaliphateX,10,42,10,29,Ambassador,KaliphateX
Danshanu ,DanshanuX ,9,29,100,12,Ambassador,DanshanuX 
Faizara,@FaizahAlkali,10,9,9,100,Ambassador,@FaizahAlkali
Bryantgee,MoFoluShola ,9,38,20,100,Ambassador,MoFoluShola 
Lady Aysher ,@Lady_Aysher,8,38,7,100,Ambassador,@Lady_Aysher
Usmanusee01,usmanusee0,9,24,100,46,Ambassador,usmanusee0
Hamzatela ,@hamza_tela,8,18,27,27,Ambassador,@hamza_tela
Seylorbay ,t.me/Neliaephraim ,8,42,46,46,Ambassador,t.me/Neliaephraim 
Faskari,@faskari4041,10,23,49,22,Ambassador,@faskari4041
Babs,Babsidentity ,9,25,25,36,Ambassador,Babsidentity 
Cypto crier1 ,@cypto_crier1,10,5,49,29,Ambassador,@cypto_crier1
Faskari,@faskari4041,8,4,22,11,Ambassador,@faskari4041
